Domain,Feature,Status,Doc,Test,Has Help Center,Doc Link,Test Link,Help Center Link
Cart,Loading Cart & Collecting Customer Information,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Cart,Address,Dev Complete (Untested),Yes,No,No,https://www.notion.so/Checkout-Address-Form-2cba781ca50980979fcac9c865d0177a,,
Cart,"Order Confirmation Page
",Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Cart,Payment Methods & Confirm Order,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Cart,Apply Coupon Code,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Cart,Payment Methods Display,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Cart,Shipping,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Checkout-2b4a781ca50980e19e07e6d7e2cc6200,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1484963194#gid=1484963194,
Order & Calculation,"Cart Calculation Engine
",Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Payment Execution Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Order Creation Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Payment Routing Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Merchant Share Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Commission Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Tax Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,
Order & Calculation,Shipping Engine,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Calculation-2b4a781ca509809ea1b9f40c01d234cb,https://docs.google.com/spreadsheets/d/1n2wFk6MGI2NsmA70KD9FAn7_O46AxdTaZlyVThnelnU/edit?gid=1471761454#gid=1471761454,